BinarySort,almost_sorted,
size, sort time(clock),
,BinarySort,max
1000,659948,738634
2000,1426711,1965139
3000,2246767,2567940
4000,3077988,3629600
5000,4214467,6455397
6000,5045164,6377560
7000,5943972,7624110
8000,6831787,8688943
9000,7910226,9737457

BinarySort,generate_from_0_to_7,
size, sort time(clock),
,BinarySort,max
1000,2435699,2990890
2000,8129339,12071200
3000,16893376,20338804
4000,29262567,34022911
5000,44092607,50112212
6000,61455260,69252883
7000,85744289,103598195
8000,107806250,124868663
9000,135984714,161272864

BinarySort,generate_from_0_to_maxInt,
size, sort time(clock),
,BinarySort,max
1000,2486203,3313400
2000,9232598,11838411
3000,20772069,27259051
4000,32499149,37716108
5000,51039058,57245872
6000,73264357,102953493
7000,95510241,105808003
8000,124220686,136606597
9000,155286806,163006991

BinarySort,generate_sorted_from_0_to_8000,
size, sort time(clock),
,BinarySort,max
1000,646585,909897
2000,1441421,1922491
3000,2293485,2779370
4000,3036616,3961873
5000,4048308,4948872
6000,4784990,6151512
7000,5708432,7291863
8000,6527555,8390446
9000,7641200,9763298

BinarySort,reverse_sorted,
size, sort time(clock),
,BinarySort,max
1000,4178270,5259536
2000,15780773,20020765
3000,33779965,39048419
4000,59965202,66485582
5000,94241926,119252321
6000,133566422,143791293
7000,181723167,206178663
8000,234066252,264473397
9000,299991461,367332996

,,,
BubbleSort,almost_sorted,
size, sort time(clock),
,BubbleSort,max
1000,3480763,4649634
2000,13779000,17305928
3000,30427460,40102569
4000,54146814,64167811
5000,83931575,92297485
6000,123002155,147244979
7000,164791282,178868095
8000,215378383,238248899
9000,272142236,309917511

BubbleSort,generate_from_0_to_7,
size, sort time(clock),
,BubbleSort,max
1000,6485142,8325128
2000,27227981,33646343
3000,68245644,96472981
4000,124078285,132974857
5000,202013999,229804749
6000,298251014,313179761
7000,415718264,432466432
8000,562003020,699206148
9000,760769520,1091496497

BubbleSort,generate_from_0_to_maxInt,
size, sort time(clock),
,BubbleSort,max
1000,7312552,9601585
2000,30619240,59630945
3000,71373912,76916730
4000,146906591,248469933
5000,220002039,492369055
6000,318248267,370227630
7000,474294977,853418329
8000,585824122,653683538
9000,748712649,886418516

BubbleSort,generate_sorted_from_0_to_8000,
size, sort time(clock),
,BubbleSort,max
1000,3382242,4463211
2000,15199491,18995755
3000,32398357,38836973
4000,59724422,169828164
5000,89362258,122202264
6000,129803940,185375156
7000,175282975,211667402
8000,228264799,410216541
9000,286699045,337469477

BubbleSort,reverse_sorted,
size, sort time(clock),
,BubbleSort,max
1000,9074586,11897920
2000,39811113,82250440
3000,85543293,118176936
4000,142940691,159728824
5000,224094220,256828925
6000,327338393,405390165
7000,443793953,525679130
8000,584162382,669017636
9000,738719355,884827803

,,,
Counting256,almost_sorted,
size, sort time(clock),
,Counting256,max
1000,90147,553079
2000,171527,382827
3000,245518,492264
4000,341553,548845
5000,380561,693872
6000,506604,1030155
7000,539317,823367
8000,737873,1037467
9000,680797,912255

Counting256,generate_from_0_to_7,
size, sort time(clock),
,Counting256,max
1000,132382,221739
2000,196117,300705
3000,239087,393265
4000,451234,1062114
5000,372744,725562
6000,536656,2119519
7000,496082,764406
8000,611208,1062042
9000,739859,1139614

Counting256,generate_from_0_to_maxInt,
size, sort time(clock),
,Counting256,max
---
---
---
---
---
---
---
---
---

Counting256,generate_sorted_from_0_to_8000,
size, sort time(clock),
,Counting256,max
1000,90499,197827
2000,165672,268119
3000,229204,246582
4000,398072,786225
5000,459810,658179
6000,502098,968197
7000,574683,1413812
8000,608501,854703
9000,682312,1169283

Counting256,reverse_sorted,
size, sort time(clock),
,Counting256,max
1000,107843,152014
2000,164922,271608
3000,258687,434701
4000,396519,1281488
5000,394627,745216
6000,605987,1702391
7000,738428,1182085
8000,883448,1839552
9000,744745,1404655

,,,
CountiongSort,almost_sorted,
size, sort time(clock),
,CountiongSort,max
1000,74928,85385
2000,157123,230194
3000,189980,808478
4000,208719,380651
5000,234730,440058
6000,264169,431463
7000,276615,430679
8000,306610,484309
9000,386281,979906

CountiongSort,generate_from_0_to_7,
size, sort time(clock),
,CountiongSort,max
1000,32189,113291
2000,56631,179694
3000,70873,151682
4000,97582,223573
5000,135384,201723
6000,142736,269686
7000,177366,460694
8000,211147,369900
9000,248295,446109

CountiongSort,generate_from_0_to_maxInt,
size, sort time(clock),
,CountiongSort,max
---
---
---
---
---
---
---
---
---

CountiongSort,generate_sorted_from_0_to_8000,
size, sort time(clock),
,CountiongSort,max
1000,45380,73109
2000,92428,163490
3000,129037,250063
4000,187020,323342
5000,227893,479821
6000,272066,650776
7000,316455,660555
8000,409032,555330
9000,440161,777384

CountiongSort,reverse_sorted,
size, sort time(clock),
,CountiongSort,max
1000,171868,228742
2000,192425,260480
3000,221138,366335
4000,241671,400932
5000,253521,385868
6000,245681,462182
7000,347341,455392
8000,364170,618724
9000,332453,568549

,,,
HeapSort,almost_sorted,
size, sort time(clock),
,HeapSort,max
1000,501961,798358
2000,1080757,1488951
3000,1777563,2629950
4000,2609912,3972900
5000,3158824,4227283
6000,3805351,4867128
7000,4548389,5936608
8000,5291361,6713954
9000,6111198,7613842

HeapSort,generate_from_0_to_7,
size, sort time(clock),
,HeapSort,max
1000,516103,842359
2000,1070134,1629628
3000,1642155,2074801
4000,2158741,3022396
5000,2851194,4090835
6000,3321425,4700585
7000,4152268,6350982
8000,4984675,6987570
9000,5400980,8897897

HeapSort,generate_from_0_to_maxInt,
size, sort time(clock),
,HeapSort,max
1000,513170,647372
2000,1294881,1939968
3000,2009829,2985721
4000,3049933,7061318
5000,3454798,4956807
6000,4257051,5209572
7000,5113120,7026612
8000,5802550,6906521
9000,6886431,10289337

HeapSort,generate_sorted_from_0_to_8000,
size, sort time(clock),
,HeapSort,max
1000,516986,995006
2000,1200427,1797868
3000,1873142,2530912
4000,2566500,5802239
5000,3243778,4354637
6000,3950568,5386915
7000,5614949,10710358
8000,5435404,7713871
9000,6122262,7969236

HeapSort,reverse_sorted,
size, sort time(clock),
,HeapSort,max
1000,470089,968027
2000,1002749,1650583
3000,1678642,2686845
4000,2223608,3237235
5000,2824079,4386847
6000,3519316,5484626
7000,4113157,5755227
8000,4955155,6264139
9000,5680069,7540544

,,,
InsertionSort,almost_sorted,
size, sort time(clock),
,InsertionSort,max
1000,12692,54860
2000,51370,404276
3000,70288,178431
4000,95170,177206
5000,143224,268821
6000,249908,567809
7000,341877,550727
8000,399169,667400
9000,514456,1199358

InsertionSort,generate_from_0_to_7,
size, sort time(clock),
,InsertionSort,max
1000,2090470,4081628
2000,8032768,12576580
3000,17187343,20811355
4000,31571806,42330332
5000,54694532,97283052
6000,68306383,78216215
7000,92686432,106562831
8000,119799089,128159282
9000,151448896,167533077

InsertionSort,generate_from_0_to_maxInt,
size, sort time(clock),
,InsertionSort,max
1000,2381835,3473860
2000,9222452,12443385
3000,19294346,23130908
4000,34602552,41503057
5000,55206909,67112666
6000,77755434,93663341
7000,108058053,161280209
8000,140067430,155079312
9000,175039242,197184921

InsertionSort,generate_sorted_from_0_to_8000,
size, sort time(clock),
,InsertionSort,max
1000,9687,9991
2000,26451,100921
3000,34858,76442
4000,45387,108903
5000,57952,170680
6000,66578,146319
7000,75037,158200
8000,84831,173233
9000,97499,198813

InsertionSort,reverse_sorted,
size, sort time(clock),
,InsertionSort,max
1000,4261004,5440203
2000,16960592,20186652
3000,38201809,44630325
4000,70997091,81658751
5000,113766004,195989720
6000,162957124,301839933
7000,219837944,290750307
8000,278156835,341041298
9000,348489801,377914952

,,,
Iverson1,almost_sorted,
size, sort time(clock),
,Iverson1,max
1000,26589,26912
2000,60287,124620
3000,31468031,43182365
4000,47785124,60913570
5000,65768669,82374290
6000,82546893,98209211
7000,128915380,165929523
8000,151773810,170491312
9000,176699174,193824229

Iverson1,generate_from_0_to_7,
size, sort time(clock),
,Iverson1,max
1000,6374237,7709794
2000,27528847,38651372
3000,64903784,89267128
4000,128213568,186331042
5000,212333154,386393924
6000,301093246,342779972
7000,420695872,499926027
8000,558034206,657397997
9000,756688482,978970182

Iverson1,generate_from_0_to_maxInt,
size, sort time(clock),
,Iverson1,max
1000,7430119,10059345
2000,29140852,36087361
3000,67868767,74335959
4000,138202934,179875481
5000,229983487,324731774
6000,314402698,346847348
7000,442518559,480183420
8000,593203405,805710583
9000,744098538,779832630

Iverson1,generate_sorted_from_0_to_8000,
size, sort time(clock),
,Iverson1,max
1000,6208,6370
2000,14631,33771
3000,21234,27254
4000,27409,33728
5000,33952,42400
6000,39027,57932
7000,47293,64014
8000,53037,73432
9000,58792,73722

Iverson1,reverse_sorted,
size, sort time(clock),
,Iverson1,max
1000,9588715,12053403
2000,37756220,50628568
3000,82077158,98231628
4000,146775142,184482935
5000,233533507,290191446
6000,337762793,438015868
7000,450051535,496168148
8000,592379990,711008674
9000,744408540,898539785

,,,
Iverson2,almost_sorted,
size, sort time(clock),
,Iverson2,max
1000,8101,8232
2000,67735,81820
3000,13784663,16580572
4000,13759576,16670644
5000,54550080,62225291
6000,85918378,94524453
7000,98666820,109940000
8000,127795475,153016565
9000,251818027,268790809

Iverson2,generate_from_0_to_7,
size, sort time(clock),
,Iverson2,max
1000,6692251,8556591
2000,26873100,43871782
3000,63787552,71169326
4000,136684079,181485652
5000,231061251,390769376
6000,321811207,379243803
7000,448975864,575759704
8000,572031993,609256896
9000,733076371,762031259

Iverson2,generate_from_0_to_maxInt,
size, sort time(clock),
,Iverson2,max
1000,7316872,8998177
2000,29510845,34369816
3000,69409894,77516447
4000,131806913,145760824
5000,217344144,234856013
6000,324910601,343149473
7000,454894580,475211297
8000,612458586,728344172
9000,776712856,883154457

Iverson2,generate_sorted_from_0_to_8000,
size, sort time(clock),
,Iverson2,max
1000,6529,6958
2000,14662,24406
3000,21567,26503
4000,28452,32849
5000,38114,102579
6000,44115,59767
7000,51276,91758
8000,58606,122636
9000,66947,131543

Iverson2,reverse_sorted,
size, sort time(clock),
,Iverson2,max
1000,9823384,15496342
2000,39497318,46059505
3000,87165657,106501963
4000,164294133,285221520
5000,246408164,332950091
6000,360037764,789865379
7000,465635765,558309659
8000,666105260,836968581
9000,780215590,1049956250

,,,
MergeSort,almost_sorted,
size, sort time(clock),
,MergeSort,max
1000,405775,482141
2000,1001469,1629234
3000,1322992,1886326
4000,1992635,2693027
5000,2646238,3671563
6000,3032293,5081212
7000,3387859,4673262
8000,3715276,5280245
9000,4278271,5935166

MergeSort,generate_from_0_to_7,
size, sort time(clock),
,MergeSort,max
1000,498980,701218
2000,1185515,1535911
3000,1614732,2048538
4000,2292604,3302075
5000,2751211,3807175
6000,3630175,6012655
7000,3858765,5320930
8000,4498054,5816165
9000,5041008,6941272

MergeSort,generate_from_0_to_maxInt,
size, sort time(clock),
,MergeSort,max
1000,602382,828827
2000,1362397,1715566
3000,2027244,2631027
4000,2653199,3570529
5000,3242599,4109180
6000,3993150,5086090
7000,4818184,6736224
8000,5709880,7952120
9000,6334500,8814276

MergeSort,generate_sorted_from_0_to_8000,
size, sort time(clock),
,MergeSort,max
1000,455816,900050
2000,871862,1363522
3000,1328051,2018215
4000,1741156,2606931
5000,2561913,3433539
6000,3116222,5110173
7000,3403750,5085197
8000,3620546,5153116
9000,4062857,5469220

MergeSort,reverse_sorted,
size, sort time(clock),
,MergeSort,max
1000,530576,792759
2000,900083,1333475
3000,1536280,2037777
4000,1935141,3116139
5000,2712942,4138257
6000,3466385,5023549
7000,3997100,7610564
8000,3787508,4898420
9000,4517228,6589318

,,,
QuickSortLast,almost_sorted,
size, sort time(clock),
,QuickSortLast,max
1000,2863054,4572255
2000,6166355,8486304
3000,9984476,12050844
4000,14148144,17194197
5000,22846930,26872541
6000,43526305,50133751
7000,47689160,54166163
8000,68185815,78332323
9000,66006580,75696028

QuickSortLast,generate_from_0_to_7,
size, sort time(clock),
,QuickSortLast,max
1000,509977,631288
2000,2277698,3232447
3000,4075875,6053059
4000,7114562,9331621
5000,11250346,13855451
6000,16223113,20525522
7000,22047619,27371438
8000,27906717,41650498
9000,35081821,47783064

QuickSortLast,generate_from_0_to_maxInt,
size, sort time(clock),
,QuickSortLast,max
1000,269887,355668
2000,530234,689626
3000,815051,1065044
4000,1277132,1945210
5000,1474112,2021344
6000,2609079,13605155
7000,2609127,8295472
8000,4294657,26653672
9000,3497686,7837230

QuickSortLast,generate_sorted_from_0_to_8000,
size, sort time(clock),
,QuickSortLast,max
1000,4388362,18167454
2000,17048879,41718091
3000,44213576,97913760
4000,56311323,83024279
5000,82578240,107693905
6000,121384265,153914052
7000,163984133,185490530
8000,214972470,240613828
9000,278834325,357723996

QuickSortLast,reverse_sorted,
size, sort time(clock),
,QuickSortLast,max
1000,2696140,4191259
2000,10524081,12920706
3000,23568854,28556984
4000,41529317,49340749
5000,64649979,75978139
6000,93152651,107272412
7000,126667190,144481863
8000,163110679,174887783
9000,205874847,219407120

,,,
QuickSortMiddle,almost_sorted,
size, sort time(clock),
,QuickSortMiddle,max
1000,111864,136815
2000,257745,458453
3000,398374,650073
4000,581581,1160641
5000,682492,1071872
6000,958363,1505960
7000,1023514,2040280
8000,1018236,1277438
9000,1257983,1819717

QuickSortMiddle,generate_from_0_to_7,
size, sort time(clock),
,QuickSortMiddle,max
1000,573504,913160
2000,1983967,2596621
3000,4252352,5559753
4000,7333457,9596604
5000,11358158,16542401
6000,16022668,19322156
7000,22191758,28381272
8000,27346811,32846480
9000,34358769,41083557

QuickSortMiddle,generate_from_0_to_maxInt,
size, sort time(clock),
,QuickSortMiddle,max
1000,303521,356764
2000,606305,897894
3000,918212,1227588
4000,1275466,1740517
5000,1641810,2223091
6000,1831756,2447969
7000,2303077,3418594
8000,2647475,3444341
9000,2957336,3891108

QuickSortMiddle,generate_sorted_from_0_to_8000,
size, sort time(clock),
,QuickSortMiddle,max
1000,98028,122000
2000,210762,222057
3000,414819,916507
4000,482417,929837
5000,600897,839338
6000,801002,1472560
7000,1000500,1353279
8000,1196829,1752187
9000,1156618,1655914

QuickSortMiddle,reverse_sorted,
size, sort time(clock),
,QuickSortMiddle,max
1000,132717,183476
2000,288493,533068
3000,392323,816451
4000,500369,743549
5000,634684,980464
6000,919362,1398972
7000,1065384,1765298
8000,1115362,1636736
9000,1353589,1974012

,,,
ShellSort,almost_sorted,
size, sort time(clock),
,ShellSort,max
1000,123866,382591
2000,263218,456291
3000,519266,909591
4000,679741,975604
5000,919159,1324352
6000,1123985,1649833
7000,1431089,1811457
8000,1540516,2118608
9000,1863784,2323355

ShellSort,generate_from_0_to_7,
size, sort time(clock),
,ShellSort,max
1000,162961,228943
2000,367084,567430
3000,669223,1142719
4000,884799,1600621
5000,1076040,1591755
6000,1313468,1797613
7000,1633426,2272791
8000,2018227,2773182
9000,2170882,2920041

ShellSort,generate_from_0_to_maxInt,
size, sort time(clock),
,ShellSort,max
1000,336106,409478
2000,797079,1528761
3000,1324189,1740840
4000,1762748,2514244
5000,2336648,3220646
6000,2767293,3947685
7000,3313352,4385258
8000,4282671,5524949
9000,4482187,6162900

ShellSort,generate_sorted_from_0_to_8000,
size, sort time(clock),
,ShellSort,max
1000,76906,77697
2000,181298,314135
3000,293957,441795
4000,393821,566676
5000,593423,928764
6000,758198,1072717
7000,825616,1223933
8000,947333,1465270
9000,1225521,1571516

ShellSort,reverse_sorted,
size, sort time(clock),
,ShellSort,max
1000,151853,297234
2000,289864,581032
3000,482033,867148
4000,625461,1001045
5000,842663,1186158
6000,1189975,1569900
7000,1315568,1864264
8000,1471642,2067136
9000,1877171,2726888

,,,
